UF,UB,UR,UL,DF,DB,FR,FL,DR,DL,BR
"U': S, R' F' R + U2, M'",,,,,,,,,,
"R' E2 R2 E' R', U'","U, R' E2 R2 E' R'",,,,,,,,,
"L E2 L2 E L, U","U', L E2 L2 E L","S, R' F' R + U'/M'",,,,,,,,
"U2, M' + U': S, R' F' R","M', U2 + U: S, R' F' R","U'/M' + S, R' F' R","U/M' + S', L F L'",,,,,,,
"U2 M U': S, R' F' R + U2, M","M U': S, R' F' R + M, U2","U' M U': S, R' F' R + U'/M","U M U': S, R' F' R + U: M, U2","M2 U': S, R' F' R + M2: U2, M'",,,,,,
"L E' L', U + U, L' E2 L","L' E2 L, U' + U', L E' L'","U: L E' L', U + U2: L' E2 L, U'","U', L E' L' + L' E2 L, U'","R: U'/M' + R S R', F'","M: L' E2 L, U' + M: U', L E' L'",,,,,
"R' E R, U' + U', R E2 R'","R E2 R', U + U, R' E R","U, R' E R + R E2 R', U","U': R' E R, U' + U2: R E2 R', U","M': R' E R, U' + M': U', R E2 R'","M: R E2 R', U + M: U, R' E R","R S R' F2: R2, E + R S R', F2",,,,
"U/R' E' R + U': S, R2","U'/R' E' R + U: S, R2","R' F' R, S' + S': U'/M'","R' E' R, U2 + U2: S, R2","r: L E' L', U + r U r', S2","S2, r' U' r + r': U', r' S' r",u: R/E + U E2: R/E',"R'/E + R' F2 R, S'",,,
"U'/L E L' + U: S', L2","U/L E L' + U': S', L2","L E L', U2 + U2: S', L2","L F L', S + S: U/M'","l': R' E R, U' + l' U' l, S2","S2, l U l' + l: U, l S l'","L/E' + L F2 L', S",u': L'/E' + U' E2: L'/E,"U': R2, S' + R F R', S'",,
"L' E L, U + U, L E2 L'","L E2 L', U' + U', L' E L","U: L' E L, U + U2: L E2 L', U'","U', L' E L + L E2 L', U'","R': U'/M' + R': S, R' F' R","l: E2, L' U' L + M: U', L' E L","R2, E + R S' R, F2","E, R2 + F2, R S' R'",U' E2: R/E + u': R/E',"r': L E L', U2 + r' U2: S', L2",
"R E' R', U' + U', R' E2 R","R' E2 R, U + U, R E' R'","U, R E' R' + R' E2 R, U ","U': R E' R', U' + U2: R' E2 R, U","r: E', R' U' R + M': U', R' E2 R","r': E2, R U R' + M: U, R E' R'","R2, E' + E': F2, R S' R'","L2, E' + L' S L, F2","l: R' E' R, U2 + l U2: S, R2",U E2: L'/E' + u: L'/E,"E' R2: F2, R S' R' + E', R2"