P8,A9,10M,1+A9,2+P8,2+A9,3+P8,3+A9,4+P8,4+A9,Cyclic Shift,5ins,7ins
"R' D R, U2",U'/R D' R',"f: U2, R' D' R",D': U'/R D' R',"R' B: D', R U R'","R' B' R: R D R', U'","U R' D': U', R' D' R","R' D' R U2: R' D R, U","R D R' D': R' D' R, U'",R U R' D: U/R D R',"R: F, R' U R U'","R2': U, R2 D R2' D' R2","U', R D' R' U R' D R"
"U2, R' D R",U/R D' R',"f: R' D' R, U2",D': U/R D' R',"R' B: R U R', D'","R' B' R : U', R D R'","U R' D': R' D' R, U'","R' D' R U': R' D R, U'","R D R' D': U', R' D' R",R U R' D: U'/R D R',"U R U': F, U R' U' R","R2': R2 D R2' D' R2, U","R D' R' U R' D R, U'"
"R' D' R, U2",U'/R D R',"D: R' D' R, U",D: U'/R D R',"R F': R' U' R, D",l' D': U/R D R',"U' R U': D', R' U R","R' U D R: R U' R', D'","U D R D': U', R' D R","U D R' D R: R D' R', U'","D R': R D' R' D, F'","R: R2' D R2 D' R2', U","R' D R U' R D' R', U"
"U2, R' D' R",U/R D R',"D: U, R' D' R",D: U/R D R',"R F': D, R' U' R",l' D': U'/R D R',"U' R U': R' U R, D'","R' U D R: D', R U' R'","U D R D': R' D R, U'","U D R' D R: U', R D' R'","D R': F', R D' R' D","R: U, R2' D R2 D' R2'","U, R' D R U' R D' R'"
"U', R D' R'","R: U, R D R'","D': R' D R, U",D': U'/R D R',"R' D': U', R' D R",R' D: U/R D R',"D R' U': D', R U R'","R' D' U' R: R U' R', D","D U' R' U': R U R', D'","D' R U D R': R' D R, U'","D R': F2, R D' R' D","R': U', R2 D' R2 D R2","R' D R U' R D' R', U'"
"R D' R', U'","R: R D R', U","D': U, R' D R",D': U/R D R',"R' D': R' D R, U'",R' D: U'/R D R',"D R' U': R U R', D'","R' U' D' R: D, R U' R'","U' D R' U': D', R U R'","D' R U D R': U', R' D R","R' D: F2, D' R D R'","R': R2 D' R2 D R2, U'","U', R' D R U' R D' R'"
"R' D R, U","R': R' D' R, U'","D: R' D R, U",D: U'/R D' R',"R D': R D R', U","R D' R': R' D R, U2","D R' U': D, R U R'",R F' R': U'/R D R',"D U' R D: U, R' D' R",R D R' U: D/R U R',"D R: R' U R U', F2","D', R2' U R2 U' R2'","R: U, R' D R U' R D' R'"
"U, R' D R","R': U', R' D' R","D: U, R' D R",D: U/R D' R',"R D': U, R D R'","R D' R': U2, R' D R","D R' U': R U R', D",R F' R': U/R D R',"U' D R D: R' D' R, U",R D R' U: D'/R U R',"D R: F2, R' U R U'","R2' U R2 U' R2', D'","R: R' D R U' R D' R', U"
"R D' R, U","R: U2, R D R'","D: U', R D' R'","U' R: R D R', U2","R' U': D, R U R'","R F R': R' D' R, U","U' R' U: R U' R', D",D' R U': D/R' U R,"U' D' R' U': D', R U R'",,"D' R' D: F2, D' R D R'","D, R2' U R2 U' R2'","R D' R' U R' D R, U"
"U, R' D' R","R: R D R', U2","D: R D' R', U'","U' R: U2, R D R'","R' U': R U R', D","R F R': U, R' D' R","U' R' U: D, R U' R'",D' R U': D'/R' U R,"U' D' R' U': R U R', D'",,"R': F2, R D' R' D","R2' U R2 U' R2', D","U, R D' R' U R' D R"
"U', R D R'","R': R' D' R, U2","D: R' D' R, U'","U' R': U2, R' D' R","R' U': D', R U R'","R' D' R: R U' R', D","U' R U: R' U' R, D'",D' R D: U/R' D' R,"D' U R U: R' U' R, D",,"D R' D: F2, D' R D R'","D', R2 U' R2 U R2","R': U', R D' R' U R' D R"
"R D R', U'","R': U2, R' D' R","D: U', R' D' R","U' R': R' D' R, U2","R' U': R U R', D'","R' D' R: D, R U' R'","U' R U: D', R' U' R",D' R D: U'/R' D' R,"U D' R U: D, R' U' R",,"D2 R': F2, R D' R' D","R2 U' R2 U R2, D'","R': R D' R' U R' D R, U'"
"R' D R, U'","U': R D' R', U'","D': R' D R, U'","U' R': U', R' D' R","R' F: R U R', D","R D' R': R' D R, U'","U R' U': D, R U R'",U' R' D: U'/R D' R',"D U R U: R' U' R, D",,"D' R' D: F', D' R D R'","R2 U' R2 U R2, D",
"U', R' D R","U2: R D' R', U","D': U', R' D R","U' R': R' D' R, U'","R' F: D, R U R'","R D' R': U', R' D R","U R' U': R U R', D",U' R' D: U/R D' R',"U D R U: D, R' U R",,"R': F', R D' R' D","D, R2 U' R2 U R2",
"R' D' R, U'","U': R D R', U'","D: R' D R, U'","U R': U', R' D R","R' U: R U' R', D","R U R': R' D' R, U'","D R D: U, R' D' R",R U' R': U'/R D' R',"U D R U': R' U R, D'",,"U R U': F2, U R' U' R","R: D, R2 U R2 U' R2",
"U', R' D' R","U': U', R D R'","D: U', R' D R'","U R': R' D R, U'","R' U: D, R U' R'","R U R': U', R' D' R","D R D: R' D' R, U",R U' R': U/R D' R',"U D R U': D', R' U R",,"R: F2, R' U R U'","R: R2 U R2 U' R2, D",
"L, U' R' U","R: R D' R', U","D': R' D' R, U'",l': U/R D' R',"R2 U': D', R' U R","U R' U2: R D R', U","D' R' U: R U' R', D","R D R' U2: R D' R', U'","U D' R U': R' U R, D'",,"D' R: R' U R U', F2","R': R2 U' R2 U R2, D'",
"U' R' U, L","R: U, R D' R'","D': U', R' D' R'",l': U'/R D' R',"R' U: R U R', D'","U R' U': R D R', U'","D' R' U: D, R U' R'","R D R' U: R D' R', U","U D' R U': D', R' U R",,"D' R: F2, R' U R U'","R': D', R2 U' R2 U R2",
"D2, R U R'","D2: R U R', D'","F: D', R U R'","R U: R' D R, U","R' U: D', R U R'","U D R': U', R' D R","U R D': U', R' D R","U' R' D' R: R U' R', D","R' D R D: R' D' R, U",,"R U': F2, U R' U' R",,
"R U R', D2","D2: D', R U R'","F: R U R', D'","R U2: R' D R, U'","R' U: R U' R', D'","U D R': R' D R, U'","U R D': R' D R, U'","U' R' D' R: D, R U' R'","R' D R D: U, R' D' R",,"U' R: F2, R' U R U'",,
"D, R U R'","D2: R U R', D","U: D, R U' R'","U' R: R U' R', D'","R' U: D', R U' R'","R U' R': D, R' U R","U' R U: R' U' R, D","U' R D' R': R' D R, U'","U D R D: U, R' D' R",,"D' R U': F2, U R' U' R",,
"R U R', D","D': R U R', D'","U: R U' R', D","U' R: D', R U' R'","R D: U, R' D' R","R U' R': R' U R, D","U' R U: D, R' U' R","U' R D' R': U', R' D R","U D R D: R' D' R, U",,"U' D' R: F2, R' U R U'",,
"R U R', D'","R: R D' R', U2","U: R U' R', D'","U R': U', R' D' R","R D: R' D' R, U","R U' R': R' D' R, U2","D R' U: D, R U' R'","U R D R': D', R' U R","R U R' D': U', R' D' R",,"D: F2, D' R D R'",,
"D', R U R'","R: U2, R D' R'","U: D', R U' R'","U R': R' D' R, U'","R U': R' U R, D","R U' R': U2, R' D' R","D R' U: R U' R', D","U R D R': R' U R, D'","R U R' D': R' D' R, U'",,"D: F2, D' R D R'",,
U' r' F R F' r U R',D/R U R',"U: R U' R', D2","R U: R' D' R, U","R U': D, R' U R",R D: U'/R' D R,"D R U': R' U R, D'","U R' D R: U, R D' R'","R' D' R U: D', R U' R'",,"U: U' R U R', B2",,
R U' r' F R' F' r U,D'/R U R',"U: D2, R U' R'","R U2: R' D' R, U'","R U': R' U R, D'",R D: U/R' D R,"D R U': D', R' U R","U R' D R: R D' R', U","R' D' R U: R U' R', D'",,"U: B2, U' R U R'",,
"F2, r D r'","R': D, R' U R","f': U2, R D R'","D R: R D' R', U","R U': D', R' U R","U R U': R D' R', U'","D' R U': R' U R, D'",U R' D: U'/R D R',,,"D' R: B2, R' D R D'",,
"r D r, F2","R': R' U R, D","f': R D R', U2","D R: U, R D' R'","R D: R' D' R, U'","U R U2: R D' R', U","D' R U': D', R' U R",U R' D: U/R D R',,,"R D': B2, D R' D' R",,
"L F L', B","R: R D' R', U'","U': R' U' R, D'","D' R: R D' R', U","R D: U', R' D' R","R D' R': R' D R, U","U R' U': R U R', D'",R' B R: U'/R' D' R,,,"U' D' R' U: B2, U' R U R'",,
"B, L F L'","R: U', R D' R'","U': D', R' U' R","D' R: U, R D' R'","R2 U': D, R U R'","R D' R': U, R' D R","U R' U': D', R U R'",R' B R: U/R' D' R,,,"D' R': B2, R U' R' U",,
"U2, R D' R'","U': R', U' L U","U': D2, R U R'",f': U/R' D R,"R2 U': R U R', D",U R: U/R' D R,"D' R D: U, R' D' R","U' R D' R': R' D R, U2",,,"U R': R D' R' D, F'",,
"R D' R', U2","U2: L, U R' U'","U': R U R', D2",f': U'/R' D R,"R U': D, R U R'",U R: U'/R' D R,"D' R D: R' D' R, U","U' R D' R': U2, R' D R",,,"U R': F', R D' R' D",,
"U2, R D R'","U2: R D' R', U'","U': D, R U R'",R': U'/R' D' R,"R U': R U R', D",U R': D/R U' R',"D R D: R' D' R, U'","R U D R': D', R' U R",,,"U' D R' U: B2, U' R U R'",,
"R D R', U2","U: R D' R', U","U': R U R', D",R': U/R' D' R,"R' D: R' D' R, U'",U R': D'/R U' R',"D R D: U', R' D' R","R U D R': R' U R, D'",,,"D R': B2, R U' R' U",,
"D', R' U2 R","U': R' D R, U'","U': R U R', D'","R' U': R' D' R, U'","R' D: U', R' D' R","R B' R': R' D R, U","U2 R U': R' U R, D'",R2 U R': U/R D R',,,"D R D': B2, D R' D' R",,
"R' U2 R, D'","U2: R' D R, U","D': R D' R', U","R' U2: R' D' R, U","R D': U', R' D R","R B' R': U, R' D R","U2 R U': D', R' U R",R2 U R': U'/R D R',,,"R: B2, R' D R D'",,
"D, R U' R'","U': R' D' R, U'","D': U, R D' R'","R2 D2: R U' R', D","R D': R' D R, U'",U R': U/R' D R,"U' R' U': R U R', D",R U R': U/R D R',,,"U' R' U: B2, U' R U R'",,
"R U' R', D","U2: R' D' R, U","D: R D R', U","R2 D': R U' R', D'","R' D': U', R' D' R",U R': U'/R' D R,"U' R' U': D, R U R'",R U R': U'/R D R',,,"R': B2, R U' R' U",,
"R U' R', D'","U2: R D R', U'","D: U, R D R'","U R: R D' R', U2","R' D': R' D' R, U'",D R: U/R' D' R,"D R D': U', R' D R",R' U' R: U/R' D' R,,,"D' R' U: B2, U' R U R'",,
"D', R U' R'","U: R D R', U","D': R D R', U","U R: U2, R D' R'","R U: D', R' U' R",D R: U'/R' D' R,"D R D': U', R' D R",R' U' R: U'/R' D' R,,,"U D' R': B2, R U' R' U",,
"R U' R', D2",U'/R' D R,"D': U, R D R'",R: D'/R' U' R,"R U: R' U' R, D'",R D': U/R' D R,"U' R D': U, R' D R","U' R D' R': R' D R, U",,,"R' U: B2, U' R U R'",,
"D2, R U' R'",U/R' D R,"D R D' R', U",R: D/R' U' R,"R U: D, R' U' R",R D': U'/R' D R,"U' R D': R' D R, U","U' R D' R': U, R' D R",,,"U R': B2, R U' R' U",,
"L, F R' F'",U'/R' D' R,"D: U, R D' R'","U2 R: R D' R', U","R U: R' U' R, D",R D': U/R' D' R,"U' R' U': R U R', D'",D R' U': D/R U R',,,"L2: F2, L U' L' U ",,
"F R' F', L",U/R' D' R,"D', U' R' U R","U2 R: U, R D' R'","R U: R' U2 R, D'",R D': U'/R' D' R,"U' R' U': D', R U R'",D R' U': D'/R U R',,,"L' U' L' U: F2, U' L U L'",,
"R' U2 R, D",D/R U' R',"U' R' U R, D'","D2 R: R D' R', U'","R U: D', R' U2 R",R D: U/R' D' R,"U' R D: U, R' D' R",U' R U': D/R' U R,,,"r U D L': F2, L U' L' U ",,
"U R' U', L'",D'/R U' R',"D, U R U R'","D2 R: U', R D' R'","R U': D, R' U' R",R D: U'/R' D' R,"U' R D: R' D' R, U",U' R U': D'/R' U R,,,"r D L' U: F2, U' L U L'",,
"L', U R' U'","R': R' D R, U'","U R U R', D",U: D/R U' R',"R U': R' U' R, D",D' R: D'/R' U' R,"D' R D': U', R' D R","D' R' U' R: R D' R', U",,,"B: B' R B R', D2",,
r' F R F' r U R' U',"R': U', R' D R","D, U' R' U R",U: D'/R U' R',"R2 U: D, R U' R'",D' R: D/R' U' R,"D' R D': R' D R, U'","D' R' U' R: U, R D' R'",,,"B: D2, B' R B R'",,
U R U' r' F R' F' r,"D: R U' R', D","U' R' U R, D","U D: R U' R', D","R2 U: R U' R', D","R U' R': R' D R, U2","U R U: R' U' R, D'",R' F R: D'/R' U' R,,,,,
"R D' R', U","D2: R U' R', D'","F': U2, R' D' R","U D2: R U' R', D'","R' D: U, R D' R'","R U' R': U2, R' D R","U R U: D', R' U' R",R' F R: D/R' U' R,,,,,
"U, R D' R'","R: D, R U' R'","F': R' D' R, U2","U R: D, R U' R'","R' D: R D' R', U",U' R': U/R D R',"U R U: R' U' R, D","R' U' D' R: R D' R', U",,,,,
"R D R', U","R: R U' R', D","U: R' U' R, D'","U R: R U' R', D","R U: D2, R U' R'",U' R': U'/R D R',"U R U: D, R' U' R","R' U' D' R: U, R D' R'",,,,,
"U, R D R'","R: D', R U' R'","U: D', R' U' R",R: U/R' D R,"R U: R U' R', D2","D R' U: R' D' R, U","U2 R' U: R U' R', D","D R' U' R: U, R D' R'",,,,,
"D2, R' U' R","R: R U' R', D'","F': D2, R U R'","R U: U2, R' D R","R U: D, R U' R'","D R' U2: R' D' R, U'","U2 R' U: D, R U' R'","D R' U' R: R D' R', U",,,,,
