P8,A9,10M,1+A9,2+P8,2+A9,3+P8,3+A9,4+P8,4+A9,Cyclic Shift,5ins,7ins
"R' U' R, D2","D': R U' R', D'","F': R U R', D2",R: U/R' D' R,"R U: R U' R', D",D R: D/R' U' R,"U R' D: U, R D' R'","U R D' R': R' D R, U",,,,,
"D, R' U' R","D2: R U' R', D","F', R D' R' D",R: U'/R' D' R,,D R: D'/R' U' R,"U R' D: R D' R', U","U R D' R': U, R' D R",,,,,
"R' U' R, D","R: D2, R U' R'","R D' R' D, F'","D R: R D' R', U2",,"U D' R: R U' R', D","U R' U: D, R U' R'",D R' U: D'/R U' R',,,,,
"R' U' R, D'","R: R U' R', D2","B: F', l' D' l","D R: U2, R D' R'",,U R: U'/R' D' R,"U R' U: R U' R', D",D R' U: D/R U' R',,,,,
"D', R' U' R","U: R' D R, U","B: l' D' l, F'",f': U/R' D' R,,U R: U/R' D' R,"D' R U: D', R' U' R",D R' D: U/R D' R',,,,,
"R', U' L U","U: U, R' D R",,f': U'/R' D' R,,U' R': U'/R D' R',"D' R U: R' U' R, D'",D R' D: U'/R D' R',,,,,
"U' L U, R'","U: R' D' R, U",,"R D2: R' U' R, D'",,U' R': U/R D' R',"D R U: D, R' U' R",R' U R: U/R' D' R,,,,,
"D', R' U R","U2: R' D' R, U'",,"R D: R' U' R, D",,"U D R: U2, R D' R'","D R U: R' U' R, D",R' U R: U'/R' D' R,,,,,
"R' U R, D'","D2: R' U' R, D'",,"D R': D, R' U R",,"U D R: R D' R', U2","D' R U: D, R' U' R",D R' D': U'/R D R',,,,,
"D, R U2 R'","D: R' U' R, D",,"D R': R' U R, D",,"U' D R': R' D R, U2","D' R U: R' U' R, D",D R' D': U/R D R',,,,,
"R U2 R', D","D2: R' U' R, D",,"D R: R D' R', U'",,"U' D R': U2, R' D R","U R U': R' U R, D",R' U R: U'/R' D R,,,,,
"D2, R' U R","D': R' U' R, D'",,"D R: U', R D' R'",,"U' D' R': R' D R, U2","U R U': D, R' U R",R' U R: U/R' D R,,,,,
"R' U R, D2",D/R' U' R,,"U R: U2, R D R'",,"U' D' R': U2, R' D R","U R U': R' U R, D'","R D' R' U2: R' D R, U'",,,,,
"R U2 R', D'",D'/R' U' R,,"U R: R D R', U2",,"U R' D': R U' R', D'","U R U': D', R' U R","R D' R' U: R' D R, U",,,,,
"D', R U2 R'","R': R' D2 R, U",,"U' R': R' D R, U2",,"U R' D2: R U' R', D","U R D: U, R' D' R",D' R U: D'/R' U' R,,,,,
"D, R' U R","R': U, R' D2 R",,"U' R': U2, R' D R",,"U' R' U': R D' R', U'","U R D: R' D' R, U",D' R U: D/R' U' R,,,,,
"R' U R, D","R': R' D R, U",,"R' U: R' D' R, U",,"U' R' U2: R D' R', U","U' R' D: U, R D' R'",R' D R: U/R D' R',,,,,
"U R' U', L","R': U, R' D R",,"R' U2: R' D' R, U'",,"U' D R': R' D R, U' ","U' R' D: R D' R', U",R' D R: U'/R D' R',,,,,
"L, U R' U'","R': R' D R, U2",,"R2 D2: R U R', D",,"U' D R': U', R' D R","D' R' D': U, R D R'",U R' U: D'/R U' R',,,,,
"F', l' D l","R': U2, R' D R",,"R2 D2: R U R', D",,"U' D' R': R' D R, U' ","D' R' D': R D R', U",U R' U: D/R U' R',,,,,
"l' D l, F'","D': R' U R, D'",,"U' R': R' D R, U",,"U' D' R': U', R' D R","U' R D: R' D' R, U'","R U' D' R': U', R' D R",,,,,
"L, D' R' D","D2: R' U R, D",,"U' R': U, R' D R",,"U' D' R': R' D2 R, U","U' R D: U', R' D' R","R U' D' R': R' D R, U'",,,,,
"D' R' D, L",D'/R' U R,,"D' R': R' U R, D",,"U' D' R': U, R' D2 R","U' R D': U', R' D R","R U D R': U, R' D R",,,,,
"B, l D' l'",D/R' U R,,"D' R': D, R' U R",,"U' D' R': R' D R, U","U' R D': R' D R, U'","R U D R': R' D R, U",,,,,
"l D' l', B","R': D', R' U R",,"U R: D', R U' R'",,"U' D' R': U, R' D R","U R U': D, R' U' R","D R U R': U', R' D R",,,,,
,"R': R' U R, D'",,"U R: R U' R', D'",,R U': D/R' U R,"U R U': R' U' R, D","D R U R': R' D R, U'",,,,,
,"D2: R' U R, D'",,"U' R': R' D R, U'",,R U': D'/R' U R,,"R U D R': U', R' D R",,,,,
,"D: R' U R, D",,"U' R': U', R' D R",,"R U' R': D', R' U R",,"R U D R': R' D R, U'",,,,,
,"R': D2, R' U R",,"U R: D2, R U' R'",,"R U' R': R' U R, D'",,"D' R U R': R' D R, U'",,,,,
,"R': R' U R, D2",,"U R: R U' R', D2",,"R U' R': R' U R, D2",,"D' R U R': U', R' D R",,,,,
,"R': R' U' R, D2",,"D' R: R D' R', U'",,"R U' R': D2, R' U R",,"R U R' D2: R U' R', D'",,,,,
,"R': D2, R' U' R",,"D' R: U', R D' R'",,l D: U/R' D' R,,"R U R' D: R U' R', D",,,,,
,"R': R' U' R, D'",,"D U': R' D' R, U'",,l D: U'/R' D' R,,"R U R' D2: R U' R', D",,,,,
,"R': D', R' U' R",,"D U2: R' D' R, U",,"R' D R: U2, R D' R'",,"R U R' D': R U' R', D'",,,,,
,"R: R U R', D2",,"D' U': R' D R, U'",,"R' D R: R D' R', U2",,"R U' D' R': R' D R, U",,,,,
,"R: D2, R U R'",,"U2 D': R' D R, U",,U R': U/R D' R',,"R U' D' R': U, R' D R",,,,,
,"R: R U R', D",,l: U'/R' D R,,U R': U'/R D' R',,R U R': D/R U' R',,,,,
,"R: D, R U R'",,l: U/R' D R,,U' R: U/R' D R,,R U R': D'/R U' R',,,,,
,,,"D' U2: R D R', U'",,U' R: U'/R' D R,,"R' U D R: R D' R', U'",,,,,
,,,"U D': R D R', U",,"U D' R': U2, R' D R",,"R' U D R: U', R D' R'",,,,,
,,,"D U2: R D' R', U'",,"D' U R': R' D R, U2",,,,,,,
,,,"D U: R D' R', U",,U R': U/R D R',,,,,,,
,,,D: U'/R' D' R,,U R': U'/R D R',,,,,,,
,,,D: U/R' D' R,,"U D R': U2, R' D R",,,,,,,
,,,D': U'/R' D R,,"U D R': R' D R, U2",,,,,,,
,,,D': U/R' D R,,U' R: U/R' D' R,,,,,,,
,,,D: U'/R' D R,,U' R: U'/R' D' R,,,,,,,
,,,D: U/R' D R,,"D U' R: R D' R', U2",,,,,,,
,,,D': U'/R' D' R,,"U' D R: U2, R D' R'",,,,,,,
,,,D': U/R' D' R,,"D' U' R: R D' R', U2",,,,,,,
,,,"U R': U2, R' D R",,"U' D' R: U2, R D' R'",,,,,,,
,,,"U R': R' D R, U2",,R U: D'/R' U R,,,,,,,
,,,"U R': U2, R' D' R",,R U: D/R' U R,,,,,,,
,,,"U R': R' D R', U2",,D R': D'/R U' R',,,,,,,
,,,"U' R: R D' R', U2",,D R': D/R U' R',,,,,,,
,,,"U' R: U2, R D' R'",,"D U' R: R D' R', U'",,,,,,,
,,,"U' D2: R U R', D'",,"D U' R: U', R D' R'",,,,,,,
,,,"D U': R U R', D ",,R' U': D/R U R',,,,,,,
,,,"R U': R D' R', U'",,R' U': D'/R U R',,,,,,,
,,,"R U2: R D' R', U",,"R U' R': R' D' R, U'",,,,,,,
,,,"U R: R D' R', U",,"R U' R': U', R' D' R",,,,,,,
,,,"U R: U, R D' R'",,D' R': D/R U' R',,,,,,,
,,,"R' U': R D' R', U'",,D' R': D'/R U' R',,,,,,,
,,,"R' U2: R D' R', U",,"U' R' U2: R' D' R, U'",,,,,,,
,,,"U R': D', R' U R",,"U' R' U: R' D' R, U",,,,,,,
,,,"U R': R' U R, D'",,"U D R: U, R D' R' ",,,,,,,
,,,R: D/R U' R',,"U D R: R D' R', U ",,,,,,,
,,,R: D'/R U' R',,"D R' U2: R D' R', U",,,,,,,
,,,R': D/R U' R',,"D R' U': R D' R', U'",,,,,,,
,,,R': D'/R U' R',,"R' U' R: U, R D R'",,,,,,,
,,,R': U/R' D R,,"R' U' R: R D R', U",,,,,,,
,,,R': U'/R' D R,,"D' U' R: R D' R', U",,,,,,,
,,,"D' R: D2, R U' R'",,"D' U' R: U, R D' R'",,,,,,,
,,,"D' R: R U' R', D2",,R' D: U/R' D R,,,,,,,
,,,U': D/R U R',,R' D: U'/R' D R,,,,,,,
,,,U': D'/R U R',,"U' D' R: R D' R', U'",,,,,,,
,,,"R U2: R D R', U",,"U' D' R: U', R D' R'",,,,,,,
,,,"R U': R D R', U'",,"R' U' R: U, R D' R'",,,,,,,
,,,"D' R': R' D R, U'",,"R' U' R: R D' R', U",,,,,,,
,,,"D' R': U', R' D R",,"R D R': R' U R, D'",,,,,,,
,,,"D' R: D, R U' R'",,"R D R': D', R' U R",,,,,,,
,,,"D' R: R U' R', D",,"R' D R: R D' R', U",,,,,,,
,,,"U' R': R' U R, D",,"R' D R: U, R D' R'",,,,,,,
,,,"U' R': D, R' U R",,"R' U R: D', R U' R'",,,,,,,
,,,"l' U2: R' D R, U'",,"R' U R: R U' R', D'",,,,,,,
,,,"l' U: R' D R, U",,U R: D'/R' U' R,,,,,,,
,,,"D' R: D', R U' R'",,U R: D/R' U' R,,,,,,,
,,,"D' R: R U' R', D'",,R' D': U/R D' R',,,,,,,
,,,"U2 R': R' D R, U'",,R' D': U'/R D' R',,,,,,,
,,,"U2 R': U', R' D R",,"U' R' U: R' D R, U",,,,,,,
,,,"D R: D', R U' R'",,"U' R' U2: R' D R, U'",,,,,,,
,,,"D R: R U' R', D'",,"R' D R: R D' R', U'",,,,,,,
,,,"R' U': R D R', U'",,"R' D R: U', R D' R'",,,,,,,
,,,"R' U2: R D R', U",,"U R D2: R' U' R, D'",,,,,,,
,,,"R' D': R U' R', D'",,"U R D: R' U' R, D",,,,,,,
,,,"R' D2: R U' R', D",,D R': D'/R U R',,,,,,,
,,,"U' R: R D' R', U'",,D R': D/R U R',,,,,,,
,,,"U' R: U', R D' R'",,"U D R: R D' R', U'",,,,,,,
,,,F: D/R U R',,"U D R: U', R D' R'",,,,,,,
,,,F: D'/R U R',,D' R': D/R U R',,,,,,,
,,,"D2 R': R' D R, U'",,D' R': D'/R U R',,,,,,,
,,,"D2 R': U', R' D R",,R' U: D'/R U' R',,,,,,,
,,,"U2 R': R' D R, U",,R' U: D/R U' R',,,,,,,
,,,"U2 R': U, R' D R",,R' D: U/R D' R',,,,,,,
,,,"D R': U', R' D R",,R' D: U'/R D' R',,,,,,,
,,,"D R': R' D R, U'",,D R': U/R D' R',,,,,,,
,,,"U' R: R D' R', U",,D R': U'/R D' R',,,,,,,
,,,"U' R: U, R D' R'",,R' D': U'/R D R',,,,,,,
,,,"F R: U2, R D' R'",,R' D': U/R D R',,,,,,,
,,,"F R: R D' R', U2",,"R' U R: R D' R', U2",,,,,,,
,,,"D R: D, R U' R'",,"R' U R: U2, R D' R'",,,,,,,
,,,"D R: R U' R', D",,"R' U D2: R U' R', D'",,,,,,,
,,,R: U/R D R',,"R' U D: R U' R', D",,,,,,,
,,,R: U'/R D R',,"R' U R: D2, R U' R'",,,,,,,
,,,"U D2: R U R', D'",,"R' U R: R U' R', D2",,,,,,,
,,,"U D: R U R', D",,"R' U R: D, R U' R'",,,,,,,
,,,U': D'/R' U R,,"R' U R: R U' R', D",,,,,,,
,,,U': D/R' U R,,U R': D/R U R',,,,,,,
,,,"U' R': D', R' U R",,U R': D'/R U R',,,,,,,
,,,"U' R': R' U R, D'",,D' R: D'/R' U R,,,,,,,
,,,R': D/R U R',,D' R: D/R' U R,,,,,,,
,,,"R' D': R U R', D2",,D' R2: U'/R D' R',,,,,,,
,,,"D2 R': R' D R, U",,D' R2: U/R D' R',,,,,,,
,,,"D2 R': U, R' D R",,D R: D/R' U R,,,,,,,
,,,U: D/R U R',,D R: D'/R' U R,,,,,,,
,,,U: D'/R U R',,"U D R': R' D R, U",,,,,,,
,,,"U' R': D2, R' U R",,"U D R': U, R' D R",,,,,,,
,,,"U' R': R' U R, D2",,"U R' D': R U R', D'",,,,,,,
,,,R': U/R D R',,"U R' D2: R U R', D",,,,,,,
,,,R': U'/R D R',,R U: D'/R' U' R,,,,,,,
,,,"D R': R' D R, U",,R U: D/R' U' R,,,,,,,
,,,"D R': U, R' D R",,"U D' R': R' D R, U",,,,,,,
,,,"R' D': R U R', D'",,"U D' R': U, R' D R",,,,,,,
,,,"R' D2: R U R', D",,"R U R': U', R' D R",,,,,,,
,,,"U R: R D' R', U'",,"R U R': R' D R, U'",,,,,,,
,,,"U R: U', R D' R'",,R' U: D'/R U R',,,,,,,
,,,R': U'/R D' R',,R' U: D/R U R',,,,,,,
,,,R': U/R D' R',,"R' F D2: R U' R', D",,,,,,,
,,,"D' R': R' D R, U2",,"R' F D': R U' R', D'",,,,,,,
,,,"D' R': U2, R' D R",,"R' D' R: D2, R U R'",,,,,,,
,,,"D' R': R' D2 R, U",,l' U': D/R U R',,,,,,,
,,,"D' R': U, R' D2 R",,l' U': D'/R U R',,,,,,,
,,,"D' R': R' D R, U",,"R' U D2: R U R', D'",,,,,,,
,,,"D' R': U, R' D R",,"R' U D: R U R', D",,,,,,,
,,,R: U'/R D' R',,,,,,,,,
,,,R: U/R D' R',,,,,,,,,
,,,R: D'/R' U R,,,,,,,,,
,,,R: D/R' U R,,,,,,,,,
,,,U': D/R U' R',,,,,,,,,
,,,U': D'/R U' R',,,,,,,,,
,,,"U' D: R U' R', D",,,,,,,,,
,,,"U' D2: R U' R', D'",,,,,,,,,
,,,"R' U: R' D R, U",,,,,,,,,
,,,"R' U2: R' D R, U'",,,,,,,,,
,,,"U' R: D, R U' R'",,,,,,,,,
,,,"U' R: R U' R', D",,,,,,,,,
,,,"R D2: R' U R, D'",,,,,,,,,
,,,"R D: R' U R, D",,,,,,,,,
,,,"D' R': D', R' U R",,,,,,,,,
,,,"D' R': R' U R, D'",,,,,,,,,
,,,U: D/R' U' R,,,,,,,,,
,,,U: D'/R' U' R,,,,,,,,,
,,,"D2 R': D', R' U R",,,,,,,,,
,,,"D2 R': R' U R, D'",,,,,,,,,
,,,"U R': R' D2 R, U",,,,,,,,,
,,,"U R': U, R' D2 R",,,,,,,,,
,,,"U R': R' D R, U",,,,,,,,,
,,,"U R': U, R' D R",,,,,,,,,
,,,"D R': D', R' U R",,,,,,,,,
,,,"D R': R' U R, D'",,,,,,,,,
,,,"D R': D2, R' U' R",,,,,,,,,
,,,"D R: D, R U R'",,,,,,,,,
,,,"D R: R U R', D",,,,,,,,,
,,,"D R: D2, R U R'",,,,,,,,,
,,,"D R: R U R', D2",,,,,,,,,
,,,"D' R: R U R', D",,,,,,,,,
,,,"D' R: D, R U R'",,,,,,,,,
,,,"D' R': R' U' R, D2",,,,,,,,,
,,,"D' R': D2, R' U' R",,,,,,,,,
,,,"D' R': R' U' R, D'",,,,,,,,,
,,,"D' R': D', R' U' R",,,,,,,,,
,,,l': D/R U' R',,,,,,,,,
,,,l': D'/R U' R',,,,,,,,,
,,,"D' R: D2, R U R'",,,,,,,,,
,,,"D' R: R U R', D2",,,,,,,,,